Time,Thrust,Altitude,Impact Time,Pressure, Drag, Airspeed
5.05999999919004,5898.19750976563,8.0533831262961, 6.59285214953605, 5.80888522397968E-06, 2.97415412973479, 0.0150501349708786
0.0199999999967986,5898.19750976563,8.0534359080717, 1.38366898551162, 7.86098589850792E-06, 1.15478928752338, 0.0124552242307132
0.0399999999935972,5898.19750976563,8.05375011581928, 1.41613435165419, 1.93636355742813E-05, 1.29127832801244, 0.0195481880751018
0.0599999999903957,5898.19750976563,8.05438679307699, 1.44819485283112, 5.73803547370654E-05, 1.41478562536301, 0.033650745453994
0.0799999999871943,5898.19757080078,8.05533497259021, 1.47986313295512, 0.000133940614489521, 1.52645450048932, 0.0514125606842052
0.0999999999839929,5898.19757080078,8.05682035200298, 1.51117568023005, 0.000261318868961586, 1.62735317250481, 0.0718122486900685
0.119999999980791,5898.19769287109,8.05864097774029, 1.43488536408063, 0.000451589474633961, 0.354663720918958, 0.0944028443990115
0.13999999997759,5898.19787597656,8.0610152086243, 1.46351301517142, 0.00071637799407076, 0.436806292132362, 0.118900685637287
0.159999999974389,5898.19805908203,8.06391781419516, 1.49191609071286, 0.00106659133489759, 0.5109925410918, 0.145081598674917
0.179999999971187,5898.19812011719,8.06737306751311, 1.52011105586603, 0.00151186701496808, 0.577977191093341, 0.172730966186521
0.199999999967986,5898.19842529297,8.07140399925411, 1.54811518090649, 0.00206068404592464, 0.638465755798206, 0.201659743322454
0.219999999964784,5898.19860839844,8.07603428270668, 1.57594944481298, 0.00272123352017976, 0.693097199986536, 0.231737612147087
0.239999999961583,5898.19897460938,8.08129228129983, 1.56298050995744, 0.00350116278880564, 0.188199064444546, 0.262857207385137
0.259999999958382,5898.19927978516,8.08719616979361, 1.59000384014229, 0.00440754698433041, 0.232650316520009, 0.2949255255198
0.27999999995518,5898.19976806641,8.09375096149743, 1.61693417578503, 0.00544677186760073, 0.272890709971002, 0.3278563843786
0.299999999951979,5898.20007324219,8.10098073109985, 1.64378570727367, 0.00662469006504419, 0.30930945441758, 0.361573852718424
0.319999999948777,5898.20062255859,8.10897349976003, 1.67057908315594, 0.00794648993447219, 0.342292549173022, 0.396006306365204
0.339999999945576,5898.20141601563,8.11759487017989, 1.69731431871092, 0.00941681617676709, 0.372165417683193, 0.43108875559123
0.359999999942374,5898.20196533203,8.12693125978112, 1.70255561560439, 0.0110397911785135, 0.10686384487573, 0.46676180413237
0.379999999939173,5898.20257568359,8.13698750305921, 1.72898910062942, 0.0128190900570713, 0.131249314828286, 0.502971906525926
0.399999999935972,5898.20330810547,8.14778426792473, 1.75540785721136, 0.014757839308587, 0.153379260686127, 0.539668164162753
0.41999999993277,5898.20397949219,8.15931198690087, 1.78181614883412, 0.0168588889561868, 0.173436741195402, 0.576806528424355
0.439999999929569,5898.20520019531,8.17160937786102, 1.80822375057472, 0.0191246496539048, 0.191618129650179, 0.614345598136825
0.459999999926367,5898.20581054688,8.18465480431914, 1.83463302941498, 0.0215572168469994, 0.208073801888055, 0.65224786580658
0.479999999923166,5898.20672607422,8.19846770670265, 1.84874337435324, 0.0241583793501092, 0.0586714550308962, 0.690479147926878
0.499999999919964,5898.20751953125,8.213042072393, 1.8750503778246, 0.0269294890769053, 0.0719520516977396, 0.729006007576747
0.519999999916763,5898.20904541016,8.22840015348047, 1.9013794366714, 0.0298718929637698, 0.0839715833007604, 0.767801230094083
0.539999999913562,5898.20989990234,8.24453460276127, 1.92773040255892, 0.032986614657459, 0.0948012623075871, 0.806838665610841
0.55999999991036,5898.21087646484,8.26146169696003, 1.95410743730639, 0.0362743574001342, 0.104541672732791, 0.846093041616047
0.579999999907159,5898.2119140625,8.27916484456509, 1.98051139727328, 0.0397357678682081, 0.113276571386886, 0.885542709042492
0.599999999903957,5898.21350097656,8.29766906928271, 2.00382276451618, 0.0433713992429804, 0.0808075939015302, 0.925168606039502
0.619999999900756,5898.21466064453,8.31699031256139, 2.02995278414886, 0.0472813519774568, 0.0822868982781692, 0.965972161713849
0.639999999897555,5898.21600341797,8.33712681047619, 2.05615026249063, 0.0513629749876107, 0.0836124831844785, 1.00680477409873
0.659999999894353,5898.21783447266,8.3580793555826, 2.08241579134267, 0.05561616557832, 0.0848040049254975, 1.04766209876576
0.679999999891152,5898.21899414063,8.37985508739948, 2.10875230204934, 0.0600411469029474, 0.0858988768950258, 1.08854339616157
0.69999999988795,5898.22015380859,8.40238230153918, 2.13515691163327, 0.0646378598177148, 0.0869411031496344, 1.12944556660802
0.719999999884749,5898.22222900391,8.42579210121185, 2.15527271410939, 0.069406568821751, 0.00863403140781707, 1.1703687165193
0.739999999881547,5898.22369384766,8.45002039931715, 2.18171904772429, 0.0743477159991393, 0.00880418594344056, 1.21131430404537
0.759999999878346,5898.2255859375,8.47525846809149, 2.20830394151874, 0.0795090055794477, 0.00905860354051096, 1.25265599262464
0.779999999875145,5898.22723388672,8.50113427769393, 2.23495851969353, 0.0848524469413947, 0.00935368284431041, 1.29406624047598
0.799999999871943,5898.22937011719,8.52771982308477, 2.26167280271024, 0.0903643584291469, 0.00964976629855019, 1.33543755730806
0.819999999868742,5898.23107910156,8.55537725556642, 2.28846727990772, 0.0960399124663151, 0.00990555635178359, 1.3767388716807
0.83999999986554,5898.23321533203,8.58361228406429, 2.31601064107239, 0.101878274318977, 0.0185980999022321, 1.41797056553259
0.859999999862339,5898.23492431641,8.61279419474304, 2.34290985561055, 0.107880156834037, 0.018620112038175, 1.45914327949556
